quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,loyer_mensuel
Ambaranjana,,,,,oui,bon,1150000.0
Ambohipo,73.0,1.0,interieur,,oui,bon,300000.0
Analamahitsy,46.0,0.0,interieur,,,moyen,180000.0
Cite Planton,101.0,2.0,,voiture_avec_par_parking,oui,bon,3150000.0
Ivato,128.0,3.0,,,,mauvais,750000.0
Ambatobe,99.0,1.0,,voiture_avec_par_parking,oui,moyen,900000.0
Paraky,95.0,2.0,,,oui,mauvais,240000.0
Ambaranjana,77.0,0.0,,,oui,moyen,1000000.0
Ambohijanahary,211.0,6.0,,voiture_avec_par_parking,oui,bon,6000000.0
Ivato,66.0,1.0,,,oui,bon,2500000.0
Andohatapenaka,122.0,3.0,interieur,,oui,moyen,250000.0
Ivandry,94.0,2.0,,,,moyen,5500000.0
Ivandry,66.0,2.0,,,non,moyen,10400000.0
Analakely,,,,,oui,moyen,900000.0
Ambatonakanga,110.0,3.0,,,oui,mauvais,2800000.0
Itaosy,117.0,2.0,interieur,voiture_avec_par_parking,,moyen,500000.0
Namontana,73.0,1.0,,,,mauvais,150000.0
Ivandry,79.0,1.0,,voiture,oui,mauvais,3000000.0
Ankazomanga,61.0,1.0,,,,mauvais,400000.0
Tsimbazaza,73.0,1.0,exterieur,voiture,oui,mauvais,270000.0
Ilafy,114.0,3.0,,voiture_avec_par_parking,oui,bon,1500000.0
Namontana,95.0,2.0,exterieur,moto,,mauvais,220000.0
Talatamaty,73.0,1.0,interieur,voiture_avec_par_parking,,moyen,650000.0
67Ha,46.0,1.0,,,oui,moyen,1000000.0
Ankadivato,110.0,3.0,,,oui,bon,6750000.0
Androhibe,156.0,4.0,,,oui,bon,9000000.0
Andoharanofotsy,112.0,3.0,,voiture_avec_par_parking,non,mauvais,1600000.0
Ambolokandrina,170.0,3.0,,,,mauvais,2000000.0
Ivandry,110.0,2.0,,,,moyen,5500000.0
Ambohitrarahaba,90.0,2.0,,moto,,mauvais,600000.0
Andoharanofotsy,80.0,,,,non,mauvais,1899999.0
Androhibe,110.0,2.0,,,oui,bon,8736000.0
Ambohitrarahaba,250.0,4.0,,,oui,bon,8500000.0
Androhibe,117.0,2.0,,,oui,bon,6500000.0
Analamahitsy,123.0,3.0,interieur,,non,bon,2000000.0
Ivato,76.0,2.0,,moto,oui,mauvais,1300000.0
Namontana,109.0,2.0,interieur,moto,,moyen,700000.0
Ambatonakanga,166.0,5.0,,,,mauvais,3000000.0
Ambanidia,70.0,2.0,interieur,sans,,moyen,800000.0
Iavoloha,91.0,2.0,interieur,voiture,,moyen,1000000.0
Ambatobe,83.0,2.0,,voiture_avec_par_parking,oui,bon,2000000.0
Andohalo,123.0,2.0,interieur,,,moyen,400000.0
Antsahavola,128.0,2.0,,voiture_avec_par_parking,oui,bon,5000000.0
Analamahitsy,110.0,3.0,interieur,voiture_avec_par_parking,non,moyen,700000.0
Nanisana,151.0,3.0,interieur,voiture,oui,moyen,1000000.0
Tsimbazaza,88.0,1.0,interieur,voiture_avec_par_parking,oui,bon,2500000.0
Itaosy,183.0,5.0,interieur,voiture,oui,moyen,200000.0
Alasora,96.0,2.0,exterieur,sans,oui,mauvais,250000.0
Androhibe,130.0,2.0,,,,moyen,7280000.0
Vontovorona,82.0,1.0,interieur,voiture_avec_par_parking,oui,moyen,400000.0
Androhibe,80.0,,,,,moyen,6759999.0
Ambatomainty,114.0,2.0,interieur,voiture_avec_par_parking,oui,moyen,400000.0
Antanetibe Ilafy,124.0,3.0,,,oui,bon,1500000.0
Ivandry,98.0,2.0,,,oui,bon,7000000.0
Ampandrana Besarety,130.0,3.0,,voiture,,mauvais,700000.0
Analakely,110.0,2.0,,,non,mauvais,3500000.0
Ambondrona,90.0,2.0,,,oui,bon,2000000.0
67Ha,63.0,1.0,,voiture_avec_par_parking,oui,mauvais,170000.0
Androhibe,160.0,4.0,,,oui,bon,13000000.0
Sud Plast,150.0,3.0,interieur,voiture_avec_par_parking,,moyen,700000.0
Tsimbazaza,70.0,1.0,exterieur,voiture_avec_par_parking,,mauvais,250000.0
Ambatonakanga,130.0,3.0,,,,mauvais,3000000.0
Ivandry,63.0,1.0,,,oui,moyen,4680000.0
Ambanidia,100.0,3.0,,,oui,mauvais,2400000.0
Talatamaty,183.0,5.0,,,,mauvais,3000000.0
Antsahavola,81.0,1.0,,,oui,bon,1600000.0
Ivandry,151.0,3.0,,,oui,bon,6500000.0
Ampasanimalo,69.0,1.0,interieur,voiture,oui,bon,500000.0
Antanetibe Ilafy,85.0,3.0,,,oui,mauvais,1500000.0
Ankorondrano,90.0,2.0,,,oui,moyen,6240000.0
Ambolokandrina,106.0,2.0,,,oui,mauvais,2000000.0
Ambohitrarahaba,140.0,2.0,,,oui,moyen,4500000.0
Analamahitsy,125.0,3.0,interieur,,non,moyen,800000.0
Ambohijanahary,69.0,1.0,exterieur,,,mauvais,350000.0
Tanjombato,75.0,2.0,interieur,moto,oui,moyen,400000.0
Ankazomanga,51.0,1.0,,,oui,mauvais,300000.0
Antanimena,,,,,oui,bon,2800000.0
Ambolokandrina,74.0,2.0,,,oui,bon,2000000.0
Ambohimanarina,107.0,2.0,interieur,,oui,moyen,650000.0
Ambanidia,135.0,2.0,,,oui,bon,4000000.0
Mandroseza,133.0,3.0,,,non,mauvais,800000.0
Ambohimanambola,81.0,1.0,interieur,moto,oui,moyen,400000.0
Ankadivato,140.0,3.0,,,,moyen,4000000.0
Ivandry,75.0,1.0,interieur,,,moyen,300000.0
Soanierana,105.0,2.0,,moto,oui,mauvais,210000.0
Ambatonakanga,139.0,3.0,,,oui,bon,3000000.0
67 Sud,125.0,3.0,interieur,voiture,oui,moyen,1000000.0
Ankorondrano,93.0,2.0,,,oui,bon,6500000.0
Androhibe,130.0,2.0,,,non,mauvais,5500000.0
By Pass,77.0,1.0,,voiture_avec_par_parking,oui,bon,1200000.0
Analakely,105.0,2.0,,,non,mauvais,2000000.0
Atarandolo,103.0,2.0,interieur,voiture_avec_par_parking,,moyen,550000.0
Namontana,105.0,2.0,exterieur,moto,,mauvais,210000.0
Ambohimangakely,99.0,2.0,interieur,moto,oui,moyen,400000.0
Ankadimbahoaka,96.0,2.0,interieur,moto,oui,moyen,250000.0
Ambohijatovo,45.0,0.0,,,oui,moyen,900000.0
Ivandry,79.0,2.0,exterieur,,,mauvais,300000.0
Antsahavola,,,,,oui,bon,4500000.0
Faravohitra,109.0,2.0,,sans,oui,mauvais,800000.0
Ambatomainty,18.5,0.0,interieur,voiture,,moyen,600000.0
Ambolokandrina,120.0,3.0,,,oui,mauvais,2000000.0
Talatamaty,65.0,3.0,interieur,voiture_avec_par_parking,oui,bon,1250000.0
Anosibe,100.0,2.0,exterieur,moto,,mauvais,240000.0
Analamahitsy,100.0,3.0,,,non,mauvais,1600000.0
Ankatso,50.0,1.0,exterieur,sans,,mauvais,150000.0
Tsimbazaza,98.0,1.0,exterieur,voiture,oui,mauvais,160000.0
Ambohijatovo,75.0,1.0,interieur,,,moyen,600000.0
Ivato,129.0,4.0,,voiture_avec_par_parking,oui,bon,4000000.0
Antanimena,67.0,1.0,interieur,voiture,oui,moyen,500000.0
Analamahitsy,119.0,2.0,interieur,,,moyen,700000.0
Andoharanofotsy,166.0,4.0,,voiture_avec_par_parking,oui,bon,2000000.0
Antsahavola,24.0,0.0,,,oui,bon,1500000.0
Ambanidia,98.0,3.0,,,,mauvais,2400000.0
Ankadivato,95.0,2.0,,voiture_avec_par_parking,oui,bon,1400000.0
67Ha,72.0,2.0,,,oui,bon,1400000.0
Ambohipo,99.0,2.0,interieur,,,moyen,600000.0
Ambatobe,127.0,2.0,,voiture,oui,mauvais,1500000.0
Anosipatrana,120.0,1.0,interieur,voiture_avec_par_parking,,moyen,600000.0
